Author,Year,Quarter,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
1,2018,2,1,382168,0,868,0,0,05/04/2018 00:22:00,05/04/2018 00:22:00
3,2018,2,1,1749,27,6,1,16,05/04/2018 19:47:21,05/04/2018 19:47:21
5,2018,2,8,460,228,1,0,24,05/04/2018 21:06:13,06/12/2018 20:12:44
5,2018,3,14,4778,344,23,0,77,07/02/2018 17:00:25,09/26/2018 18:32:15
5,2018,4,3,1405,206,1,0,17,10/08/2018 23:14:51,10/25/2018 19:09:15
5,2019,1,29,4074,1382,24,6,153,01/04/2019 17:37:25,03/28/2019 23:06:50
5,2019,2,12,1078,487,14,6,35,04/01/2019 19:46:59,05/22/2019 20:49:51
6,2018,2,2,131,3,1,0,3,05/05/2018 08:11:31,05/08/2018 15:17:41
6,2019,2,2,101,66,0,0,11,04/15/2019 16:49:56,04/19/2019 19:26:08
8,2018,2,4,95,21,2,0,5,05/07/2018 03:50:30,06/13/2018 21:33:44
8,2018,3,1,2,0,0,0,1,08/21/2018 16:14:59,08/21/2018 16:14:59
8,2018,4,3,12,4,0,0,3,11/09/2018 17:59:34,12/19/2018 23:13:14
9,2018,2,3,741,599,2,0,8,05/07/2018 04:44:57,06/05/2018 08:13:03
9,2018,3,3,265,0,3,0,0,07/02/2018 23:50:33,09/05/2018 01:04:36
9,2018,4,4,331,2,4,0,1,10/01/2018 18:04:39,12/01/2018 20:09:14
4,2018,2,11,207,63,3,0,22,05/07/2018 17:26:00,06/18/2018 18:33:05
4,2018,3,27,6269,5557,7,2,421,07/19/2018 16:48:24,09/28/2018 16:30:59
4,2018,4,17,7542,6330,13,0,593,10/01/2018 18:20:21,12/12/2018 00:06:16
4,2019,1,24,10627,10919,14,6,1884,01/04/2019 23:55:46,03/24/2019 22:56:41
4,2019,2,5,1693,110,21,1,16,04/03/2019 16:32:34,06/13/2019 01:40:19
4,2019,3,3,12,12,0,0,5,09/10/2019 22:29:10,09/26/2019 14:28:33
4,2019,4,11,131,286,2,5,29,10/17/2019 00:29:26,11/22/2019 20:18:41
4,2020,2,2,6,17,0,0,2,04/02/2020 00:46:41,05/18/2020 18:02:41
4,2020,4,1,70,18,1,0,1,10/06/2020 05:26:36,10/06/2020 05:26:36
4,2021,1,1,295,287,0,0,8,03/15/2021 16:52:19,03/15/2021 16:52:19
4,2021,2,1,3,27,0,0,3,04/29/2021 00:08:24,04/29/2021 00:08:24
11,2018,2,2,2048598,5,2,0,2,05/07/2018 17:48:17,05/07/2018 21:09:23
13,2018,2,2,10,10,0,0,7,05/07/2018 22:11:06,05/07/2018 22:23:35
13,2019,2,1,3,3,0,0,1,05/30/2019 16:52:10,05/30/2019 16:52:10
13,2019,4,1,1,1,0,0,1,10/03/2019 00:37:03,10/03/2019 00:37:03
14,2018,2,1,14,1,0,0,2,05/08/2018 05:06:19,05/08/2018 05:06:19
16,2018,2,1,20,13,0,0,1,05/08/2018 20:44:39,05/08/2018 20:44:39
16,2019,1,4,138,453,0,1,23,02/15/2019 03:11:36,03/18/2019 22:24:27
16,2019,4,3,8452,286,52,0,24,10/25/2019 20:30:36,10/30/2019 22:56:36
17,2018,2,1,3,2,0,0,2,05/08/2018 21:52:58,05/08/2018 21:52:58
18,2018,2,1,5,3,0,0,1,05/09/2018 16:00:56,05/09/2018 16:00:56
19,2018,2,7,307105,59,212,0,13,05/09/2018 17:58:23,05/30/2018 06:01:35
19,2018,3,6,5122,152,55,0,20,09/05/2018 22:18:32,09/27/2018 19:17:30
19,2018,4,14,4418,11002,3,6,119,10/10/2018 21:00:30,12/27/2018 17:56:28
19,2019,1,19,2258,1002,8,1,98,01/04/2019 01:13:15,03/06/2019 00:18:19
19,2019,2,2,39,46,0,0,3,04/26/2019 18:21:46,04/29/2019 03:49:06
20,2018,2,1,14,14,0,0,1,05/10/2018 00:47:34,05/10/2018 00:47:34
21,2018,2,1,1,1,0,0,1,05/10/2018 15:21:26,05/10/2018 15:21:26
21,2018,3,1,10,13,0,0,7,07/16/2018 20:33:11,07/16/2018 20:33:11
22,2018,2,14,5072,2243,3,0,76,05/11/2018 15:39:25,06/27/2018 21:41:51
22,2018,3,7,1614,253,2,0,34,07/03/2018 15:04:00,09/28/2018 15:01:38
22,2018,4,28,112067,411526,157,92,214,10/01/2018 19:42:51,12/20/2018 18:07:14
22,2019,1,13,2049,960,4,1,145,01/07/2019 20:35:06,03/24/2019 23:37:59
22,2019,2,10,461,318,1,0,26,04/15/2019 22:01:33,05/28/2019 05:30:53
22,2019,3,1,11184,98,51,0,9,07/01/2019 12:36:08,07/01/2019 12:36:08
22,2019,4,3,25225,36,69,0,12,12/26/2019 18:17:52,12/26/2019 18:33:53
22,2020,1,7,4954,250,18,0,28,01/05/2020 08:30:42,02/05/2020 13:16:51
22,2020,2,4,9570,536,27,0,32,04/10/2020 07:44:06,06/04/2020 12:14:24
22,2021,4,1,142,28,1,0,4,10/12/2021 02:09:21,10/12/2021 02:09:21
23,2018,2,1,1,1,0,0,1,05/11/2018 18:40:08,05/11/2018 18:40:08
24,2018,2,1,16,15,0,0,7,05/12/2018 16:18:47,05/12/2018 16:18:47
25,2018,2,14,86525,10745,131,2,95,05/12/2018 23:31:50,06/27/2018 19:17:39
25,2018,3,13,18641,13859,47,9,318,07/02/2018 20:51:32,09/21/2018 18:51:19
25,2018,4,7,42329,10748,87,0,1649,10/02/2018 23:57:30,12/25/2018 08:04:04
25,2019,1,49,9103,37913,14,47,531,01/04/2019 22:04:39,03/28/2019 23:48:56
25,2019,2,80,7493,3028,34,6,355,04/02/2019 02:38:00,06/18/2019 17:24:25
25,2019,3,18,22969,7823,144,9,89,07/01/2019 12:29:32,09/28/2019 02:51:20
25,2019,4,22,4020,3264,5,3,168,10/03/2019 04:34:44,12/26/2019 21:56:45
25,2020,1,3,188,2,2,0,2,01/01/2020 01:21:21,01/01/2020 03:58:07
26,2018,2,21,21888,11805,76,0,81,05/15/2018 00:26:16,06/27/2018 00:04:12
26,2018,3,24,14139,3458,54,0,169,07/02/2018 22:59:29,09/30/2018 18:40:17
26,2018,4,24,12177,17943,43,19,431,10/01/2018 17:30:09,12/19/2018 15:07:15
26,2019,1,50,8994,14200,34,42,552,01/02/2019 06:11:48,03/25/2019 21:05:27
26,2019,2,13,1607,992,8,4,61,04/01/2019 23:49:51,04/25/2019 02:03:39
27,2018,2,1,226,0,3,0,1,05/15/2018 02:22:39,05/15/2018 02:22:39
28,2018,2,1,11,10,0,0,10,05/17/2018 01:34:44,05/17/2018 01:34:44
29,2018,2,1,1,0,0,0,1,05/19/2018 17:21:00,05/19/2018 17:21:00
29,2018,3,1,118,0,1,0,2,07/28/2018 15:07:44,07/28/2018 15:07:44
15,2018,2,4,2719,93,8,0,10,05/22/2018 21:36:41,06/26/2018 16:10:13
15,2018,3,18,15365,4181,74,0,609,07/03/2018 14:56:34,09/27/2018 18:55:36
15,2018,4,17,15172,13896,22,8,958,10/03/2018 05:19:04,12/20/2018 21:54:06
15,2019,1,16,3258,3228,5,2,434,01/08/2019 19:51:33,03/25/2019 20:31:22
15,2019,2,7,1591,1065,2,1,29,04/01/2019 19:52:48,04/18/2019 23:33:59
31,2018,2,1,49,11,0,0,2,05/23/2018 14:30:10,05/23/2018 14:30:10
32,2018,2,4,644,510,0,0,14,05/23/2018 16:20:17,06/01/2018 18:37:32
33,2018,2,3,23,27,0,0,10,05/23/2018 18:44:22,05/30/2018 17:17:48
34,2018,2,1,9,2,0,0,7,05/24/2018 16:39:51,05/24/2018 16:39:51
35,2018,2,2,16,19,0,1,203,05/25/2018 16:32:54,05/29/2018 23:50:42
35,2018,4,1,1,1,0,0,1,11/09/2018 00:21:08,11/09/2018 00:21:08
36,2018,2,1,3,0,0,0,1,06/04/2018 19:54:21,06/04/2018 19:54:21
36,2018,3,1,3708,3399,2,0,21,09/17/2018 15:13:32,09/17/2018 15:13:32
36,2018,4,13,2031,549,4,0,28,11/16/2018 19:28:11,12/20/2018 20:52:52
