Sha,ParentSha,Parent2Sha,IsMerge,IsBugfix,BugfixProbability,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,Message,Work Items,Total Files,Modified Files,Added Files,Deleted Files,Total Lines,Net Lines,Added Lines,Deleted Lines
f0e639af5ffdc839aae8e65d19b5a9a1f0db634a,,,False,False,0,1,05/04/2018 00:22:00,2,05/04/2018 00:22:00,Initial commit,0,868,0,868,0,389137,382168,382168,0
76cb2cdf5cc8b6c88ca44b8969153836e589df04,f0e639af5ffdc839aae8e65d19b5a9a1f0db634a,,False,False,0.017575039,3,05/04/2018 19:47:21,4,05/04/2018 19:47:21,Get a working build (#1),1,23,16,6,1,5972,1722,1749,27
972f6232de173b5e294a34a847682e9b1e67d3af,76cb2cdf5cc8b6c88ca44b8969153836e589df04,,False,True,0.9999651,5,05/04/2018 21:06:13,4,05/04/2018 21:06:13,Fixed the syntax of cited example. (#2),1,1,1,0,0,64,-1,4,5
cde0d7d18ec9e93bde1d3a53c35f87430ac43fee,972f6232de173b5e294a34a847682e9b1e67d3af,,False,True,0.79847777,6,05/05/2018 08:11:31,7,05/05/2018 08:11:31,Add ML.NET Roadmap (#30),1,3,2,1,0,376,127,128,1
da023b18464268a9d4431de1f978a685fa397a8b,cde0d7d18ec9e93bde1d3a53c35f87430ac43fee,cfcb6cbb08db5a2b1f84294763bd99828b88b2ea,True,False,0.0067768274,8,05/07/2018 03:50:30,7,05/07/2018 03:50:30,Merge pull request #35 from shauheen/update_contribution,1,3,1,2,0,54,47,47,0
0ba22f120acbe629f16c4a09f1f36ecf6faa2b63,da023b18464268a9d4431de1f978a685fa397a8b,,False,False,0.28797257,9,05/07/2018 04:44:57,10,05/07/2018 04:44:57,Add release notes for ML.NET 0.1 (#37),1,1,0,1,0,47,47,47,0
c023727b76970ab913ec1ce38276508835c17bcf,0ba22f120acbe629f16c4a09f1f36ecf6faa2b63,,False,False,0.012223714,8,05/07/2018 15:20:33,7,05/07/2018 15:20:33,Update README.md (#40),1,1,1,0,0,88,24,43,19
2038108473015a58cee8425719f75751282cb7b0,c023727b76970ab913ec1ce38276508835c17bcf,,False,True,0.9789319,8,05/07/2018 15:54:00,7,05/07/2018 15:54:00,Adjust gitter link to go to new mlnet room (#42),1,2,2,0,0,119,0,2,2
02e5cd5a148bdd85b655eb4e20f822485a8ba2a3,2038108473015a58cee8425719f75751282cb7b0,,False,False,0.38841996,4,05/07/2018 17:26:00,7,05/07/2018 17:26:00,Add push trigger to netci.groovy (#46),1,1,1,0,0,68,2,5,3
21ad5ff628d05b62b6fca05ecb3f75f5b556b255,02e5cd5a148bdd85b655eb4e20f822485a8ba2a3,,False,True,1,11,05/07/2018 17:48:17,12,05/07/2018 17:48:17,Update dataset (#45),1,3,1,2,0,2048616,2048587,2048587,0
2603a9652b52f0fdc1157192decb9e39c18b6155,21ad5ff628d05b62b6fca05ecb3f75f5b556b255,,False,False,0.014037291,4,05/07/2018 19:44:49,7,05/07/2018 19:44:49,Add Build Status to README (#48),1,1,1,0,0,92,4,5,1
5748195f8b91e2d2e76a589fbfdb8949313a3059,2603a9652b52f0fdc1157192decb9e39c18b6155,5e812d166d01d9cbd4c9ed16d4648041fbb7c83a,True,False,0.114869386,11,05/07/2018 21:09:23,7,05/07/2018 21:09:23,Merge pull request #54 from dotnet/data-license,1,1,1,0,0,45,6,11,5
af95f66fdef86c71fc9a42e142f6a01f518c649c,5748195f8b91e2d2e76a589fbfdb8949313a3059,,False,True,0.9930569,13,05/07/2018 22:11:06,10,05/07/2018 22:11:06,[Src] Fixed typo: files in Microsoft.ML namespace (#59),1,6,6,0,0,1216,0,8,8
d9d1216221701ee04951353e5180954056474cbf,af95f66fdef86c71fc9a42e142f6a01f518c649c,,False,True,0.9973235,13,05/07/2018 22:23:35,10,05/07/2018 22:23:35,[Docs] Fixed typo: ROADMAP.md (#55),1,1,1,0,0,95,0,2,2
ae662104793a4ca6bc3863a0bee00591526b740b,d9d1216221701ee04951353e5180954056474cbf,,False,True,0.7944338,14,05/08/2018 05:06:19,10,05/08/2018 05:06:19,Pass correct field name to exception and message (#65),1,2,2,0,0,396,13,14,1
500d7034025c08d41feb6a52bae6410a695b7b18,ae662104793a4ca6bc3863a0bee00591526b740b,,False,True,0.94104356,5,05/08/2018 06:12:04,6,05/08/2018 06:12:04,Refactored scenario tests (issue #32) (#52),2,4,4,0,0,459,5,12,7
e9942bb360c05272ee923ebfb76c09a3cccb2528,500d7034025c08d41feb6a52bae6410a695b7b18,,False,True,0.9999196,6,05/08/2018 15:17:41,15,05/08/2018 15:17:41,Fix link to example file in readme.md (#71),1,1,1,0,0,93,1,3,2
b26740707b077687e0406444ed0a709c766f5634,e9942bb360c05272ee923ebfb76c09a3cccb2528,,False,False,0.23317489,16,05/08/2018 20:44:39,4,05/08/2018 20:44:39,Correcting docs for building in Linux (#58),1,1,1,0,0,50,7,20,13
142f3d761d3381d56527fe5ec82e444689c9ef76,b26740707b077687e0406444ed0a709c766f5634,,False,True,0.8267396,17,05/08/2018 21:52:58,10,05/08/2018 21:52:58,Minor comment fixes. (#84),1,2,2,0,0,187,1,3,2
051b62c29b13c1f8b80c8ddd6df8537f620732b5,142f3d761d3381d56527fe5ec82e444689c9ef76,,False,False,0.30295363,18,05/09/2018 16:00:56,6,05/09/2018 16:00:56,Expand on NuGet installation (#90),1,1,1,0,0,95,2,5,3
4f9ee892af309cb08a4809316c53c83497022661,051b62c29b13c1f8b80c8ddd6df8537f620732b5,,False,False,0.015836589,4,05/09/2018 17:11:54,10,05/09/2018 17:11:54,Bump version number to 0.2. (#95),1,1,1,0,0,8,0,1,1
3e5b5edb34617311a2df5d3458edb074a0e7a84a,4f9ee892af309cb08a4809316c53c83497022661,,False,False,0.1765196,5,05/09/2018 17:35:10,4,05/09/2018 17:35:10,Comments added to LearningPipeline class to make Intellisense more helpful. (#50),1,1,1,0,0,251,88,88,0
e1db5c53f0ff29fd97dca8087e7f7bedfd0b5124,3e5b5edb34617311a2df5d3458edb074a0e7a84a,,False,False,0.053655144,19,05/09/2018 17:58:23,4,05/09/2018 17:58:23,publish symbols enabled (#99),1,1,1,0,0,33,0,1,1
