Author,Year,Month,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
1,2017,9,1,21,0,1,0,0,09/21/2017 23:11:36,09/21/2017 23:11:36
3,2017,9,1,2,0,1,0,0,09/21/2017 23:22:28,09/21/2017 23:22:28
4,2017,9,1,10,1,0,0,1,09/23/2017 01:47:48,09/23/2017 01:47:48
4,2020,3,1,11,7,0,0,1,03/19/2020 19:05:57,03/19/2020 19:05:57
5,2017,9,3,18,3,0,0,3,09/23/2017 01:50:32,09/23/2017 03:53:15
5,2017,10,7,35,11,0,0,7,10/04/2017 01:37:32,10/17/2017 19:14:30
5,2018,3,1,1,0,0,0,1,03/22/2018 13:06:42,03/22/2018 13:06:42
5,2018,9,1,33,0,1,0,0,09/28/2018 19:38:22,09/28/2018 19:38:22
5,2018,10,1,17,0,1,0,0,10/04/2018 14:43:16,10/04/2018 14:43:16
5,2018,11,2,7,6,0,0,2,11/08/2018 16:09:18,11/08/2018 16:16:27
5,2019,4,2,932,1,35,1,0,04/17/2019 19:21:14,04/30/2019 16:48:47
5,2019,5,24,2703,95,58,2,46,05/02/2019 19:22:56,05/16/2019 15:09:53
5,2019,6,1,4,4,0,0,1,06/26/2019 16:13:58,06/26/2019 16:13:58
5,2020,1,1,7,13,0,0,7,01/23/2020 18:53:05,01/23/2020 18:53:05
5,2021,6,2,2,3,0,0,2,06/18/2021 18:46:17,06/18/2021 18:51:17
5,2021,8,1,61,2,0,0,1,08/28/2021 17:56:57,08/28/2021 17:56:57
6,2019,1,1,1,1,0,0,1,01/18/2019 21:02:03,01/18/2019 21:02:03
6,2019,2,2,6,6,0,0,2,02/01/2019 15:53:16,02/01/2019 22:15:58
6,2019,5,13,762,1842,2,56,25,05/07/2019 16:20:04,05/22/2019 02:07:13
6,2019,6,4,308,250,0,0,33,06/12/2019 23:39:29,06/18/2019 16:34:43
6,2019,7,4,5189,1550,39,12,69,07/10/2019 22:19:08,07/22/2019 14:52:57
6,2019,8,7,1497,570,16,1,74,08/02/2019 15:46:01,08/27/2019 18:11:53
6,2019,9,6,1402,855,14,2,91,09/03/2019 14:55:30,09/27/2019 18:16:57
6,2019,10,3,1295,838,7,2,26,10/08/2019 23:10:37,10/22/2019 23:48:54
6,2019,11,14,4122,6932,29,14,319,11/09/2019 14:43:12,11/24/2019 22:22:41
6,2019,12,13,5379,3228,17,25,168,12/02/2019 18:53:32,12/30/2019 18:44:32
