Author,Year,Quarter,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
1,2017,3,1,21,0,1,0,0,09/21/2017 23:11:36,09/21/2017 23:11:36
3,2017,3,1,2,0,1,0,0,09/21/2017 23:22:28,09/21/2017 23:22:28
4,2017,3,1,10,1,0,0,1,09/23/2017 01:47:48,09/23/2017 01:47:48
4,2020,1,1,11,7,0,0,1,03/19/2020 19:05:57,03/19/2020 19:05:57
5,2017,3,3,18,3,0,0,3,09/23/2017 01:50:32,09/23/2017 03:53:15
5,2017,4,7,35,11,0,0,7,10/04/2017 01:37:32,10/17/2017 19:14:30
5,2018,1,1,1,0,0,0,1,03/22/2018 13:06:42,03/22/2018 13:06:42
5,2018,3,1,33,0,1,0,0,09/28/2018 19:38:22,09/28/2018 19:38:22
5,2018,4,3,24,6,1,0,2,10/04/2018 14:43:16,11/08/2018 16:16:27
5,2019,2,27,3639,100,93,3,47,04/17/2019 19:21:14,06/26/2019 16:13:58
5,2020,1,1,7,13,0,0,7,01/23/2020 18:53:05,01/23/2020 18:53:05
5,2021,2,2,2,3,0,0,2,06/18/2021 18:46:17,06/18/2021 18:51:17
5,2021,3,1,61,2,0,0,1,08/28/2021 17:56:57,08/28/2021 17:56:57
6,2019,1,3,7,7,0,0,3,01/18/2019 21:02:03,02/01/2019 22:15:58
6,2019,2,17,1070,2092,2,56,58,05/07/2019 16:20:04,06/18/2019 16:34:43
6,2019,3,17,8088,2975,69,15,234,07/10/2019 22:19:08,09/27/2019 18:16:57
6,2019,4,30,10796,10998,53,41,513,10/08/2019 23:10:37,12/30/2019 18:44:32
6,2020,1,84,10578,4690,49,21,512,01/02/2020 19:34:44,03/31/2020 17:32:03
6,2020,2,80,18401,5127,143,16,546,04/01/2020 01:07:55,06/30/2020 04:14:49
6,2020,3,56,5468,2128,31,7,271,07/01/2020 01:07:48,09/30/2020 15:50:06
6,2020,4,18,2947,1131,14,7,76,10/01/2020 14:03:15,12/04/2020 20:08:01
6,2021,1,28,4683,2496,21,14,180,01/21/2021 23:59:13,03/30/2021 23:19:42
6,2021,2,19,3469,2541,8,4,187,04/15/2021 19:32:38,06/28/2021 21:19:56
6,2021,3,14,15594,844,5,1,62,07/01/2021 19:28:07,09/28/2021 15:26:44
6,2021,4,10,4792,3728,6,5,160,10/11/2021 19:09:04,12/08/2021 01:32:10
6,2022,1,3,1210,669,17,3,111,02/03/2022 20:32:27,02/19/2022 03:22:49
6,2022,2,13,14488,11801,74,93,518,04/13/2022 02:22:20,06/30/2022 15:54:27
6,2022,3,34,9543,7107,37,18,288,07/16/2022 17:21:40,09/30/2022 17:25:46
6,2022,4,28,3371,3437,11,11,250,10/15/2022 04:17:08,12/31/2022 19:36:36
6,2023,1,56,8808,6663,22,8,337,01/01/2023 20:03:49,03/22/2023 17:57:09
6,2023,2,33,2162,1911,3,7,251,04/10/2023 20:26:28,06/23/2023 19:31:59
6,2023,3,30,6379,4350,17,9,371,07/10/2023 21:58:49,09/22/2023 18:29:20
6,2023,4,13,3522,2915,4,1,78,10/12/2023 01:32:53,12/05/2023 21:20:50
6,2024,1,6,3736,10090,4,70,79,01/03/2024 13:41:41,03/26/2024 20:56:12
6,2024,2,11,1133,1927,2,8,134,04/05/2024 14:58:35,05/10/2024 20:29:10
7,2019,2,2,171642,34,679,0,5,05/13/2019 22:52:48,05/20/2019 23:43:20
7,2021,1,1,5,8,0,0,4,02/09/2021 19:43:33,02/09/2021 19:43:33
7,2023,2,4,4888,4784,13,0,117,05/05/2023 14:29:21,05/22/2023 08:10:14
7,2024,2,2,58,19,0,0,15,04/29/2024 08:12:00,05/01/2024 08:11:09
8,2019,2,13,1031,236,20,0,49,05/15/2019 19:04:41,06/11/2019 20:39:43
8,2019,3,20,5510,823,59,2,108,07/22/2019 20:25:17,09/26/2019 19:34:56
8,2019,4,10,1017,567,7,2,73,10/03/2019 17:26:40,11/27/2019 22:39:40
8,2020,1,24,1653,542,24,2,71,01/08/2020 00:49:01,03/24/2020 23:57:20
8,2020,2,89,19509,5083,58,28,418,04/03/2020 17:17:49,06/30/2020 20:59:22
8,2020,3,31,6584,3673,49,25,230,07/02/2020 23:30:51,09/15/2020 19:20:04
8,2020,4,14,755,343,31,4,104,10/01/2020 22:05:09,12/08/2020 22:53:51
8,2021,1,67,57149,27623,116,24,485,01/08/2021 00:55:42,03/31/2021 14:49:53
8,2021,2,53,10802,7809,24,9,317,04/01/2021 02:29:28,06/30/2021 19:18:38
