Author,Year,Week,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
1,2017,38,1,21,0,1,0,0,09/21/2017 23:11:36,09/21/2017 23:11:36
3,2017,38,1,2,0,1,0,0,09/21/2017 23:22:28,09/21/2017 23:22:28
4,2017,38,1,10,1,0,0,1,09/23/2017 01:47:48,09/23/2017 01:47:48
4,2020,12,1,11,7,0,0,1,03/19/2020 19:05:57,03/19/2020 19:05:57
5,2017,38,3,18,3,0,0,3,09/23/2017 01:50:32,09/23/2017 03:53:15
5,2017,40,6,34,11,0,0,6,10/04/2017 01:37:32,10/04/2017 14:31:29
5,2017,42,1,1,0,0,0,1,10/17/2017 19:14:30,10/17/2017 19:14:30
5,2018,12,1,1,0,0,0,1,03/22/2018 13:06:42,03/22/2018 13:06:42
5,2018,39,1,33,0,1,0,0,09/28/2018 19:38:22,09/28/2018 19:38:22
5,2018,40,1,17,0,1,0,0,10/04/2018 14:43:16,10/04/2018 14:43:16
5,2018,45,2,7,6,0,0,2,11/08/2018 16:09:18,11/08/2018 16:16:27
5,2019,16,1,1,0,1,0,0,04/17/2019 19:21:14,04/17/2019 19:21:14
5,2019,18,14,3615,83,92,1,29,04/30/2019 16:48:47,05/04/2019 16:50:05
5,2019,19,4,4,4,0,2,10,05/05/2019 12:44:07,05/06/2019 21:01:17
5,2019,20,7,15,9,0,0,7,05/13/2019 18:56:02,05/16/2019 15:09:53
5,2019,26,1,4,4,0,0,1,06/26/2019 16:13:58,06/26/2019 16:13:58
5,2020,4,1,7,13,0,0,7,01/23/2020 18:53:05,01/23/2020 18:53:05
5,2021,25,2,2,3,0,0,2,06/18/2021 18:46:17,06/18/2021 18:51:17
5,2021,35,1,61,2,0,0,1,08/28/2021 17:56:57,08/28/2021 17:56:57
6,2019,3,1,1,1,0,0,1,01/18/2019 21:02:03,01/18/2019 21:02:03
6,2019,5,2,6,6,0,0,2,02/01/2019 15:53:16,02/01/2019 22:15:58
6,2019,19,1,1,1,0,0,1,05/07/2019 16:20:04,05/07/2019 16:20:04
6,2019,20,8,734,1812,2,56,19,05/12/2019 15:52:15,05/17/2019 14:55:19
6,2019,21,4,27,29,0,0,5,05/20/2019 17:23:31,05/22/2019 02:07:13
6,2019,24,2,299,236,0,0,30,06/12/2019 23:39:29,06/15/2019 16:45:55
6,2019,25,2,9,14,0,0,3,06/17/2019 19:42:12,06/18/2019 16:34:43
6,2019,28,2,852,711,12,4,37,07/10/2019 22:19:08,07/11/2019 22:50:06
6,2019,29,1,3925,687,23,8,10,07/18/2019 16:13:28,07/18/2019 16:13:28
6,2019,30,1,412,152,4,0,22,07/22/2019 14:52:57,07/22/2019 14:52:57
6,2019,31,1,44,2,1,0,3,08/02/2019 15:46:01,08/02/2019 15:46:01
6,2019,32,3,482,280,4,1,39,08/08/2019 00:06:13,08/09/2019 22:09:03
6,2019,34,2,40,19,0,0,7,08/20/2019 21:52:51,08/21/2019 19:32:48
6,2019,35,1,931,269,11,0,25,08/27/2019 18:11:53,08/27/2019 18:11:53
6,2019,36,2,428,325,2,0,42,09/03/2019 14:55:30,09/06/2019 18:08:13
6,2019,37,1,420,362,6,2,26,09/13/2019 18:19:01,09/13/2019 18:19:01
6,2019,38,1,1,1,0,0,1,09/19/2019 23:29:52,09/19/2019 23:29:52
6,2019,39,2,553,167,6,0,22,09/25/2019 19:05:22,09/27/2019 18:16:57
6,2019,41,2,950,700,2,2,10,10/08/2019 23:10:37,10/12/2019 09:57:29
6,2019,43,1,345,138,5,0,16,10/22/2019 23:48:54,10/22/2019 23:48:54
6,2019,45,1,469,369,4,1,20,11/09/2019 14:43:12,11/09/2019 14:43:12
6,2019,46,7,402,114,2,0,31,11/12/2019 01:06:04,11/14/2019 16:10:09
6,2019,47,5,3245,6443,23,13,267,11/19/2019 19:36:18,11/22/2019 22:38:16
6,2019,48,1,6,6,0,0,1,11/24/2019 22:22:41,11/24/2019 22:22:41
6,2019,49,4,662,35,2,0,23,12/02/2019 18:53:32,12/03/2019 00:51:17
6,2019,50,3,2385,981,11,17,64,12/10/2019 23:04:39,12/12/2019 23:10:03
6,2019,51,4,93,352,0,1,12,12/21/2019 00:05:07,12/21/2019 20:49:19
6,2019,52,1,23,18,0,0,4,12/23/2019 17:27:30,12/23/2019 17:27:30
6,2019,53,1,2216,1842,4,7,65,12/30/2019 18:44:32,12/30/2019 18:44:32
6,2020,1,2,5,6,0,0,3,01/02/2020 19:34:44,01/03/2020 23:27:22
6,2020,2,4,673,462,2,1,80,01/07/2020 02:17:19,01/10/2020 18:05:37
6,2020,3,4,227,179,0,3,34,01/14/2020 15:36:51,01/15/2020 16:42:35
6,2020,4,1,56,22,0,0,14,01/24/2020 15:36:24,01/24/2020 15:36:24
6,2020,5,3,13,11,0,0,11,01/28/2020 20:48:05,01/29/2020 22:25:40
6,2020,6,8,1744,950,17,6,57,02/03/2020 18:12:05,02/08/2020 18:23:34
6,2020,7,6,1240,739,7,5,53,02/11/2020 05:31:51,02/14/2020 15:04:33
6,2020,8,8,739,478,2,1,54,02/17/2020 17:54:43,02/22/2020 00:34:44
6,2020,9,13,696,392,4,0,52,02/23/2020 19:27:36,02/29/2020 02:47:45
6,2020,10,17,4631,1150,15,4,62,03/02/2020 16:58:57,03/07/2020 15:37:43
6,2020,11,14,393,267,1,1,60,03/08/2020 18:58:25,03/14/2020 20:37:14
6,2020,12,2,153,23,1,0,30,03/15/2020 16:46:34,03/19/2020 20:08:51
6,2020,14,10,1503,120,21,0,24,03/31/2020 17:31:00,04/03/2020 01:55:18
6,2020,16,2,8,8,0,0,8,04/13/2020 21:13:59,04/15/2020 16:00:33
6,2020,17,4,1119,363,5,0,35,04/21/2020 23:02:19,04/23/2020 02:20:23
6,2020,18,7,9564,645,47,1,49,04/27/2020 19:55:07,05/02/2020 16:28:49
6,2020,19,5,327,105,2,0,32,05/07/2020 15:33:56,05/09/2020 14:51:39
6,2020,20,7,417,136,6,1,16,05/13/2020 19:59:24,05/16/2020 21:13:22
6,2020,21,20,959,738,15,2,55,05/19/2020 01:33:31,05/23/2020 17:50:57
6,2020,22,7,7,9,0,0,7,05/26/2020 19:02:16,05/30/2020 15:03:17
6,2020,23,5,749,470,2,2,39,06/04/2020 02:15:42,06/06/2020 19:56:45
6,2020,24,2,430,148,2,0,29,06/09/2020 21:58:37,06/10/2020 03:26:56
6,2020,25,2,489,7,8,0,5,06/16/2020 23:28:52,06/16/2020 23:29:31
6,2020,26,9,2303,2128,33,10,228,06/21/2020 17:09:06,06/25/2020 23:39:47
6,2020,27,9,1396,717,10,1,48,06/29/2020 16:02:33,07/03/2020 18:03:14
6,2020,28,16,551,269,2,0,76,07/07/2020 15:08:43,07/10/2020 00:26:12
6,2020,30,5,451,14,2,0,10,07/21/2020 21:08:58,07/23/2020 20:39:54
6,2020,31,4,445,143,0,0,22,07/26/2020 21:24:03,07/29/2020 18:47:12
6,2020,32,3,367,14,1,0,4,08/04/2020 02:53:03,08/05/2020 01:53:14
6,2020,33,2,215,124,1,0,6,08/10/2020 23:31:27,08/11/2020 01:28:44
6,2020,34,1,516,197,9,2,15,08/21/2020 23:44:56,08/21/2020 23:44:56
6,2020,35,1,9,5,0,0,1,08/26/2020 16:57:33,08/26/2020 16:57:33
6,2020,37,5,1491,555,5,4,37,09/07/2020 18:25:14,09/07/2020 18:34:17
6,2020,39,4,115,123,2,0,26,09/22/2020 19:36:38,09/25/2020 15:11:21
6,2020,40,13,455,235,1,0,52,09/28/2020 16:06:31,10/03/2020 18:00:41
6,2020,41,1,17,1,0,0,1,10/05/2020 17:30:33,10/05/2020 17:30:33
6,2020,42,2,4,4,0,0,2,10/15/2020 19:54:44,10/15/2020 19:57:01
6,2020,43,2,456,92,5,2,13,10/22/2020 17:55:20,10/22/2020 22:39:09
6,2020,46,2,1008,117,2,1,7,11/09/2020 02:46:48,11/12/2020 20:40:07
6,2020,47,1,1,1,0,0,1,11/19/2020 19:45:38,11/19/2020 19:45:38
6,2020,48,2,159,165,1,0,18,11/22/2020 01:47:30,11/26/2020 21:27:02
6,2020,49,3,1293,744,6,4,29,12/04/2020 18:04:02,12/04/2020 20:08:01
6,2021,4,1,2,2,0,0,2,01/21/2021 23:59:13,01/21/2021 23:59:13
6,2021,5,5,48,13,1,0,14,01/26/2021 21:01:03,01/29/2021 19:11:31
6,2021,6,2,2,1,0,0,2,02/03/2021 21:30:43,02/05/2021 17:18:53
6,2021,7,3,438,518,6,11,26,02/09/2021 21:48:17,02/10/2021 16:47:23
6,2021,8,4,775,185,2,0,24,02/17/2021 04:19:15,02/19/2021 16:45:11
6,2021,10,3,1221,901,0,2,24,03/01/2021 23:50:58,03/04/2021 23:06:50
6,2021,11,2,1709,422,11,0,46,03/08/2021 17:20:27,03/11/2021 22:37:53
6,2021,12,4,5,4,0,0,4,03/16/2021 16:09:17,03/18/2021 19:16:17
6,2021,13,2,446,399,1,1,31,03/26/2021 15:21:26,03/26/2021 19:03:07
6,2021,14,2,37,51,0,0,7,03/30/2021 02:59:19,03/30/2021 23:19:42
6,2021,16,5,47,14,0,0,10,04/15/2021 19:32:38,04/17/2021 18:33:12
6,2021,18,1,841,804,0,1,44,04/27/2021 13:45:17,04/27/2021 13:45:17
6,2021,19,2,1262,783,0,1,47,05/05/2021 23:26:20,05/06/2021 00:18:59
6,2021,20,2,248,88,0,0,6,05/11/2021 19:40:06,05/14/2021 14:47:46
6,2021,22,4,1017,801,8,2,67,05/27/2021 01:30:09,05/27/2021 03:23:15
6,2021,24,2,4,7,0,0,3,06/09/2021 18:30:46,06/10/2021 23:28:08
6,2021,25,1,45,39,0,0,5,06/17/2021 00:29:38,06/17/2021 00:29:38
6,2021,26,1,1,1,0,0,1,06/21/2021 18:24:52,06/21/2021 18:24:52
6,2021,27,2,24,6,0,0,5,06/28/2021 21:19:56,07/01/2021 19:28:07
6,2021,28,1,33,12,0,0,2,07/10/2021 17:12:30,07/10/2021 17:12:30
6,2021,29,2,2,2,0,0,2,07/13/2021 18:24:36,07/13/2021 18:24:55
6,2021,34,2,135,64,2,0,9,08/20/2021 20:18:47,08/20/2021 23:51:22
6,2021,35,2,350,154,1,1,24,08/26/2021 14:25:34,08/26/2021 22:46:03
6,2021,36,2,328,215,2,0,8,08/31/2021 21:39:21,09/04/2021 15:37:02
6,2021,37,1,9,32,0,0,6,09/07/2021 18:13:01,09/07/2021 18:13:01
6,2021,39,2,33,36,0,0,9,09/22/2021 22:27:20,09/22/2021 22:55:05
6,2021,40,1,14684,327,0,0,1,09/28/2021 15:26:44,09/28/2021 15:26:44
6,2021,42,1,13,12,0,0,13,10/11/2021 19:09:04,10/11/2021 19:09:04
6,2021,44,3,620,633,3,3,78,10/25/2021 22:18:23,10/30/2021 00:32:02
6,2021,45,2,1022,617,2,2,41,11/04/2021 14:56:29,11/04/2021 22:32:53
6,2021,47,2,2772,2108,1,0,19,11/14/2021 23:56:06,11/15/2021 22:47:52
6,2021,49,1,357,346,0,0,8,11/30/2021 00:34:23,11/30/2021 00:34:23
6,2021,50,1,8,12,0,0,1,12/08/2021 01:32:10,12/08/2021 01:32:10
6,2022,6,2,507,279,4,1,56,02/03/2022 20:32:27,02/04/2022 23:21:19
6,2022,8,1,703,390,13,2,55,02/19/2022 03:22:49,02/19/2022 03:22:49
6,2022,16,2,7884,6760,62,76,339,04/13/2022 02:22:20,04/15/2022 15:49:50
6,2022,17,1,240,51,1,0,18,04/23/2022 16:43:10,04/23/2022 16:43:10
6,2022,19,1,2639,2922,5,14,99,05/06/2022 23:22:41,05/06/2022 23:22:41
6,2022,22,1,10,10,0,0,6,05/25/2022 15:27:55,05/25/2022 15:27:55
6,2022,24,3,1384,820,3,0,13,06/07/2022 21:01:09,06/08/2022 01:07:49
6,2022,25,1,67,62,0,1,10,06/13/2022 22:45:29,06/13/2022 22:45:29
6,2022,27,4,2264,1176,3,2,33,06/29/2022 18:55:52,06/30/2022 15:54:27
6,2022,29,1,3501,2985,14,7,62,07/16/2022 17:21:40,07/16/2022 17:21:40
6,2022,33,2,717,192,10,0,42,08/08/2022 15:18:36,08/11/2022 16:26:31
6,2022,35,16,2034,1522,3,4,76,08/23/2022 16:59:10,08/27/2022 18:05:52
6,2022,36,3,190,115,1,3,22,09/02/2022 02:04:14,09/02/2022 21:03:17
6,2022,38,3,831,530,7,4,33,09/13/2022 15:41:18,09/17/2022 16:57:21
6,2022,39,4,374,58,1,0,28,09/20/2022 18:11:11,09/22/2022 14:00:48
6,2022,40,5,1896,1705,1,0,25,09/29/2022 16:04:51,09/30/2022 17:25:46
6,2022,42,1,1134,1007,3,4,77,10/15/2022 04:17:08,10/15/2022 04:17:08
6,2022,43,8,529,555,2,3,44,10/17/2022 20:48:57,10/22/2022 17:01:45
6,2022,45,3,757,231,4,0,41,11/02/2022 15:01:01,11/05/2022 18:06:46
6,2022,46,3,171,104,0,0,13,11/09/2022 02:18:07,11/11/2022 15:52:55
6,2022,47,11,667,1468,1,4,61,11/15/2022 02:52:33,11/17/2022 23:19:37
6,2022,53,2,113,72,1,0,14,12/27/2022 18:05:55,12/31/2022 19:36:36
6,2023,1,5,1114,504,2,2,11,01/01/2023 20:03:49,01/05/2023 17:52:59
6,2023,2,12,1584,954,7,1,102,01/09/2023 14:42:49,01/14/2023 00:17:09
6,2023,3,8,629,320,1,0,41,01/18/2023 19:00:51,01/20/2023 01:23:50
6,2023,4,1,19,24,0,0,4,01/24/2023 03:05:55,01/24/2023 03:05:55
6,2023,5,2,1859,1674,7,2,39,01/30/2023 14:20:27,02/04/2023 07:16:54
6,2023,6,7,1467,1871,1,1,76,02/06/2023 18:22:01,02/10/2023 18:42:04
6,2023,7,2,267,80,0,0,9,02/14/2023 03:29:05,02/16/2023 23:23:41
6,2023,8,6,1271,865,1,1,24,02/19/2023 00:48:50,02/24/2023 15:21:31
6,2023,10,4,20,111,0,0,10,03/09/2023 01:24:49,03/11/2023 09:12:08
6,2023,11,7,561,257,3,1,18,03/14/2023 00:26:36,03/15/2023 04:53:38
6,2023,12,2,17,3,0,0,3,03/21/2023 22:47:13,03/22/2023 17:57:09
6,2023,16,2,139,163,0,1,38,04/18/2023 20:27:32,04/22/2023 00:17:40
6,2023,15,5,498,502,0,2,43,04/10/2023 20:26:28,04/13/2023 23:07:55
