Author,Year,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
1,2017,1,21,0,1,0,0,09/21/2017 23:11:36,09/21/2017 23:11:36
3,2017,1,2,0,1,0,0,09/21/2017 23:22:28,09/21/2017 23:22:28
4,2017,1,10,1,0,0,1,09/23/2017 01:47:48,09/23/2017 01:47:48
4,2020,1,11,7,0,0,1,03/19/2020 19:05:57,03/19/2020 19:05:57
5,2017,10,53,14,0,0,10,09/23/2017 01:50:32,10/17/2017 19:14:30
5,2018,5,58,6,2,0,3,03/22/2018 13:06:42,11/08/2018 16:16:27
5,2019,27,3639,100,93,3,47,04/17/2019 19:21:14,06/26/2019 16:13:58
5,2020,1,7,13,0,0,7,01/23/2020 18:53:05,01/23/2020 18:53:05
5,2021,3,63,5,0,0,3,06/18/2021 18:46:17,08/28/2021 17:56:57
6,2019,67,19961,16072,124,112,808,01/18/2019 21:02:03,12/30/2019 18:44:32
6,2020,238,37394,13076,237,51,1405,01/02/2020 19:34:44,12/04/2020 20:08:01
6,2021,71,28538,9609,40,24,589,01/21/2021 23:59:13,12/08/2021 01:32:10
6,2022,78,28612,23014,139,125,1167,02/03/2022 20:32:27,12/31/2022 19:36:36
6,2023,132,20871,15839,46,25,1037,01/01/2023 20:03:49,12/05/2023 21:20:50
6,2024,17,4869,12017,6,78,213,01/03/2024 13:41:41,05/10/2024 20:29:10
7,2019,2,171642,34,679,0,5,05/13/2019 22:52:48,05/20/2019 23:43:20
7,2021,1,5,8,0,0,4,02/09/2021 19:43:33,02/09/2021 19:43:33
7,2023,4,4888,4784,13,0,117,05/05/2023 14:29:21,05/22/2023 08:10:14
7,2024,2,58,19,0,0,15,04/29/2024 08:12:00,05/01/2024 08:11:09
8,2019,43,7558,1626,86,4,230,05/15/2019 19:04:41,11/27/2019 22:39:40
8,2020,158,28501,9641,162,59,823,01/08/2020 00:49:01,12/08/2020 22:53:51
8,2021,167,74777,39253,184,44,1078,01/08/2021 00:55:42,12/03/2021 22:51:13
8,2022,101,128547,116812,398,126,1556,01/11/2022 00:42:40,12/07/2022 15:51:04
8,2023,31,2456,1468,12,4,122,01/03/2023 18:54:59,03/10/2023 00:50:46
9,2019,3,349,231,1,0,28,05/15/2019 16:40:19,05/20/2019 23:03:09
10,2019,186,78079,17895,491,86,1314,05/17/2019 00:37:25,12/18/2019 15:18:59
10,2020,507,27655,217386,157,848,1853,01/06/2020 13:08:43,12/04/2020 19:54:07
10,2021,406,95222,49446,260,74,2043,01/06/2021 11:23:22,12/15/2021 15:48:10
10,2022,227,105903,117861,72,92,1041,01/11/2022 13:07:02,12/27/2022 20:28:55
10,2023,281,43093,21401,104,26,1250,01/04/2023 16:41:29,12/18/2023 16:51:10
10,2024,31,2544,1098,3,1,81,01/03/2024 13:39:47,04/23/2024 22:39:37
11,2019,1,1,1,0,0,1,05/17/2019 16:04:07,05/17/2019 16:04:07
12,2019,22,2523,881,27,3,209,05/21/2019 22:08:11,09/10/2019 21:38:18
13,2019,42,2592,1123,36,12,245,05/23/2019 00:36:52,09/17/2019 22:58:01
14,2019,4,1706,788,11,0,53,05/29/2019 23:18:41,12/12/2019 02:01:50
14,2020,128,5869,3508,33,9,350,01/15/2020 21:52:21,10/13/2020 22:19:06
14,2021,28,6452,4584,18,4,139,01/11/2021 11:47:24,08/10/2021 15:35:22
14,2022,2,4,25,0,1,3,03/17/2022 00:54:59,06/22/2022 14:54:35
14,2023,60,3056,2383,3,8,105,01/10/2023 17:45:19,11/08/2023 19:10:35
14,2024,1,1,1,0,0,1,01/05/2024 11:07:11,01/05/2024 11:07:11
15,2019,4,1397,859,3,3,10,10/07/2019 17:57:46,12/12/2019 23:27:21
15,2020,22,2459,1712,24,1,68,01/07/2020 05:38:14,11/08/2020 19:04:50
15,2021,38,1791,877,6,0,115,01/02/2021 23:27:51,08/04/2021 22:44:03
16,2019,3,1488,2155,3,10,73,11/04/2019 22:09:18,12/10/2019 23:00:30
16,2020,19,3715,2944,13,15,121,01/22/2020 23:25:07,11/25/2020 19:57:54
16,2021,9,1529,1823,5,14,113,01/11/2021 13:39:22,11/02/2021 23:12:05
16,2022,7,2001,2117,15,6,162,01/11/2022 00:40:40,11/16/2022 00:09:03
16,2023,9,58,44,1,0,20,02/27/2023 22:18:33,11/21/2023 01:55:50
16,2024,7,1843,76,24,0,33,01/11/2024 18:54:11,04/29/2024 22:01:43
17,2019,1,2,0,0,0,1,11/07/2019 18:43:14,11/07/2019 18:43:14
17,2021,2,28,156,0,0,2,12/15/2021 23:40:16,12/15/2021 23:43:27
18,2019,1,1,1,0,0,1,11/08/2019 00:13:40,11/08/2019 00:13:40
18,2021,1,12,3,0,0,2,06/08/2021 17:21:57,06/08/2021 17:21:57
19,2019,1,145,0,1,0,0,12/02/2019 18:54:26,12/02/2019 18:54:26
20,2020,40,2714,405,10,1,86,01/12/2020 16:35:17,09/19/2020 22:51:15
21,2020,57,3866,1211,22,5,117,01/31/2020 23:07:31,07/20/2020 21:10:26
22,2020,1,208,0,2,0,0,02/04/2020 20:54:23,02/04/2020 20:54:23
23,2020,49,3098,2784,10,6,229,02/05/2020 13:35:41,12/28/2020 13:14:08
23,2021,7,186,184,0,1,41,01/04/2021 13:12:52,03/29/2021 12:04:12
23,2022,3,9,9,0,0,6,02/28/2022 13:05:13,03/14/2022 12:05:57
