Commit Sha,File Sha,Lines,Path,Path1,Path2,Path3,Extension
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,acdab74f70d81c6fcd48603db1108e8cd1363951,31,.editorconfig,.editorconfig,,,.editorconfig
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,50f25b6f529d87268cba02450e6d489c4dfb95c1,2,.git-blame-ignore-revs,.git-blame-ignore-revs,,,.git-blame-ignore-revs
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,fdbd45887018ac6ac81b03c3c41408f1a8fd1259,396,.gitignore,.gitignore,,,.gitignore
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,0fd65e978f79bfdc669be4e49d35e9ebf99c46ca,5,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,74826e98cbbce5bd1556ddb240af14fc469a8a2a,11,CONTRIBUTING.md,CONTRIBUTING.md,,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,9872971934879c2e1e33382a355b049ac5957b00,252,DEVELOPER-GUIDE.md,DEVELOPER-GUIDE.md,,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,1dd7bc239f4b7045737d4ac256b910e91cf0193e,47,Directory.Build.props,Directory.Build.props,,,.props
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,494b35720f73040675657424ce8e97bdbc17045a,39,Directory.Build.targets,Directory.Build.targets,,,.targets
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,7f3919322261014e668859574d2f7213a12205ae,135,INTERNAL.md,INTERNAL.md,,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,c35b1079d3c59b514e5a9f54eb92a912abe9b1a6,23,License.txt,License.txt,,,.txt
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,737b72a51d4506ad4bae90e372d76e5f6c370171,17,MANUAL-TESTING.md,MANUAL-TESTING.md,,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,0b6a695181ca5074c6e05a7179d2320485696f13,25721,NOTICE.txt,NOTICE.txt,,,.txt
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,9c3a8846a71240320aa734ba5be8b2cff1d33b3b,451,NotebookTestScript.dib,NotebookTestScript.dib,,,.dib
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,26165c61826137c1ac500569ba6f7f2651f800e6,1016,NotebookTestScript.ipynb,NotebookTestScript.ipynb,,,.ipynb
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,4114b043120bcd59382f06afdfa18c92e5a8cf24,16,NuGet.config,NuGet.config,,,.config
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,d092573d9abe777f92b60a4a838aa5baf21783b7,89,README.md,README.md,,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,40ebe97731c5a52cb52a0b68cf64583e63c7635b,6,Ruleset.ruleset,Ruleset.ruleset,,,.ruleset
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,4ecdec675a34a6bb8c4ae9c1d846bb7ca0abe148,2,apiscan-compliance.yml,apiscan-compliance.yml,,,.yml
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,c5cb92cb3dcee2a78d82a39e60cc13e74007e894,360,azure-pipelines-official.yml,azure-pipelines-official.yml,,,.yml
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,4c7508952f003ccbf47e0a15e1514129c00fc6bb,406,azure-pipelines.yml,azure-pipelines.yml,,,.yml
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,8442a57d8f38597e9670495806e9a40c843731ee,2,build-js.cmd,build-js.cmd,,,.cmd
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,b0b717d3e8bb8b0dd65d0d3bf0ddbd867f767929,16,build-js.sh,build-js.sh,,,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,4f83f6aede36bab1168efd0ec112d17bd4ec9737,2,build.cmd,build.cmd,,,.cmd
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,48cd0feb1080faa8dd5957dbd95a560fc66c9aed,16,build.sh,build.sh,,,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,769abf1c62290de780c6e0632883c0f7f7ae66f3,15,buildSqlTools.cmd,buildSqlTools.cmd,,,.cmd
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,596a86030158e4f6f475508114f6af137fb63054,6,dotnet-interactive.lutconfig,dotnet-interactive.lutconfig,,,.lutconfig
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,af9e8088d3e506e8252cbdfdf15a735e67bb0247,784,dotnet-interactive.sln,dotnet-interactive.sln,,,.sln
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,48e27e0386dc9c3c3781bdaccdd23405f27c28fa,21,dotnet-interactive.sln.DotSettings,dotnet-interactive.sln.DotSettings,,,.DotSettings
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,a11f4097999f5ca7fb1629d299c7397a687a0e29,9,dotnet-interactive.v3.ncrunchsolution,dotnet-interactive.v3.ncrunchsolution,,,.ncrunchsolution
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,c45a11c893df83d5cf53987eb4481b79f9b9f101,14,global.json,global.json,,,.json
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,079a3918330d5277b8f2236ac5c0c7181601665f,24,interactive.code-workspace,interactive.code-workspace,,,.code-workspace
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,f1a87c4dddfb1a302b041a8e910ebdd39ea918d9,27,issues-review.github-issues,issues-review.github-issues,,,.github-issues
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,824a45c9c36507ce503d6916fa1cf83a7fef7230,24,repack.ps1,repack.ps1,,,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,ad10e5790d3424b968e86534f127513808df8d7d,2,restore.cmd,restore.cmd,,,.cmd
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,cf80bdd6af1aac1e6f6e1290bbe6c539425134e1,16,restore.sh,restore.sh,,,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,04eaf4fc0fbae6f8ce8db36767dcab39f7e70141,85,test-retry-runner.ps1,test-retry-runner.ps1,,,.ps1
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,6635b2fffc70e33ef56a8dea0a8eb44692b4a4f6,2,test.cmd,test.cmd,,,.cmd
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,fce89f0a1165abd2fe23ce5c67b53c29ecb2e38c,16,test.sh,test.sh,,,.sh
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,3ad9c00e107cc5b0e88fd70369329f04abc29909,4,xunit.runner.json,xunit.runner.json,,,.json
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,0c1ceee37a97f007fcf4abb7773d1a9eba4fd04a,54,.config/CredScanSuppressions.json,.config,CredScanSuppressions.json,,.json
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,4aa7df824c8e322382dc16b3b2c886da0a2a5cdb,16,.devcontainer/Dockerfile,.devcontainer,Dockerfile,,
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,b098529b956fe2c4e99f9fd4adbb655b3fb6bd15,76,.devcontainer/devcontainer.json,.devcontainer,devcontainer.json,,.json
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,73f18e39d9ab98e0e0b037f15f7e1510367e4416,24,.devcontainer/workspace.code-workspace,.devcontainer,workspace.code-workspace,,.code-workspace
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,25ffd035d83350b613bb7b8231046c06509b145b,107,.github/release.yml,.github,release.yml,,.yml
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,1c25627c78ca45bd2a8c9ad19a9e099f708e411a,34,.vscode/launch.json,.vscode,launch.json,,.json
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,7f104673ce16d4d7f558ec3b534cdab4bba29d6a,36,.vscode/tasks.json,.vscode,tasks.json,,.json
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,7f98c3e5d1e5521870a2289ddd8d69edb11ed279,40,assets/Polyglot Notebook.svg,assets,Polyglot Notebook.svg,,.svg
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,bc70329ed781fb6ed753b8bb3c698946f8249208,57,assets/Polyglot Notebook_128.png,assets,Polyglot Notebook_128.png,,.png
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,601ebe1c808fbc406d6bac6f1bf28ffe889e5f51,18,assets/Polyglot Notebook_72.png,assets,Polyglot Notebook_72.png,,.png
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,0ec56597454d4d6fab96158b8524b076b7ebe347,395,docs/FAQ.md,docs,FAQ.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,9c3c8fcdb1538f43df16161589c78a168fae3cde,63,docs/NotebookswithJupyter.md,docs,NotebookswithJupyter.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,569330970a23c88a0154030d882799dd850bdf45,52,docs/README.md,docs,README.md,,.md
dd3fefb929d456fa10b0b9f7e0b2c65f6cfbee93,d02f436f7269288fa90da7c3232baf89e7a46a22,59,docs/adding-jupyter-kernels.md,docs,adding-jupyter-kernels.md,,.md
