Sha,Message,IsBugFix,Message,Response
af49038bb531a22ec2add894ee6b88f9e1cb0376,"Add .gitignore and .gitattributes.",False,"Creating .gitignore and .gitattributes doesn't address a bug","{""IsBugFix"": false, ""Reason"": ""Creating .gitignore and .gitattributes doesn't address a bug""}"
ba38ec694d75787211498f672176e515ac9ae746,"Add project files.",False,"Only adding files without context for a bugfix","{""IsBugFix"": false, ""Reason"": ""Only adding files without context for a bugfix""}"
6e0d6d42eaf2a42b03fdf890536837700b838823,"Early F# objects",False,"Introducing new F# objects does not imply a bug fix","{""IsBugFix"": false, ""Reason"": ""Introducing new F# objects does not imply a bug fix""}"
3f261eae04330ce0ec3465e7fd656d662823de67,"Working on UI binding.",False,"UI improvement does not imply a bug fix","{""IsBugFix"": false, ""Reason"": ""UI improvement does not imply a bug fix""}"
327381f9be89e0d80da1a967cc574c64ee699479,"UI is working",True,"Improvement in user interface","{""IsBugFix"": true, ""Reason"": ""Improvement in user interface""}"
eb10df21917ec27562ff21fae26906491b37d0e6,"F# generation",False,"Generation of files is not a bugfix","{""IsBugFix"": false, ""Reason"": ""Generation of files is not a bugfix""}"
e80ae647c8c2a6e98b46c05f51195bb134ebf225,"Work on map generation",False,"Map generation is a feature development task","{""IsBugFix"": false, ""Reason"": ""Map generation is a feature development task""}"
1d168b9a05468cc350a93b4f0a99620051b066f1,"Better generation.",True,"Improvement in code generation implies a potential bugfix","{""IsBugFix"": true, ""Reason"": ""Improvement in code generation implies a potential bugfix""}"
fd22078d695ae21bdb090554d9951ae7d7c43f33,"Added void, coloration, icon",True,"Introduced new features","{""IsBugFix"": true, ""Reason"": ""Introduced new features""}"
27b44266748522c5c3eb0f090c662034cf115538,"Beginning room JSON loading.",True,"Starting to load room JSON likely for bugfix purposes","{""IsBugFix"": true, ""Reason"": ""Starting to load room JSON likely for bugfix purposes""}"
6355000e9862cf5ecf2654020ee069430fddc985,"Better mapping",True,"Despite the message not explicitly stating 'bugfix', refactoring for better mapping often implies solving a previously identified issue with data handling or process flow.","{""IsBugFix"": true, ""Reason"": ""Despite the message not explicitly stating 'bugfix', refactoring for better mapping often implies solving a previously identified issue with data handling or process flow.""}"
d9429b7f8769b76fd284efe8d10c2fef22dc57f9,"Room instructions",True,"Improving clarity may indirectly fix potential issues in room instructions","{""IsBugFix"": true, ""Reason"": ""Improving clarity may indirectly fix potential issues in room instructions""}"
541027406f620580404a8d9b228024d7f09a4470,"Reorganized into multiple projects",False,"Charged with project organization","{""IsBugFix"": false, ""Reason"": ""Charged with project organization""}"
df1d65c0b9fdb164cbb22c1e70e17acd6f17d51d,"Level loading",True,"Improvement in level loading suggests a bugfix focused on efficiency or user experience","{""IsBugFix"": true, ""Reason"": ""Improvement in level loading suggests a bugfix focused on efficiency or user experience""}"
2bbe45a72f00e8ec41ca6cc1724887600cedad9c,"Work on parsing",True,"Improving the existing functionality","{""IsBugFix"": true, ""Reason"": ""Improving the existing functionality""}"
9a410dfc75df4efc03a195ff5157df85b6e963e4,"Better casting",True,"Introduced casting might address type-related issues","{""IsBugFix"": true, ""Reason"": ""Introduced casting might address type-related issues""}"
9ab45259f9469dabec92180534723e186abc5501,"LogicObject is now a thing.",True,"Seems like a refactoring to introduce 'LogicObject' could aim for better organization or cleaner code which might be related to fixing bugs.","{""IsBugFix"": true, ""Reason"": ""Seems like a refactoring to introduce 'LogicObject' could aim for better organization or cleaner code which might be related to fixing bugs.""}"
2155ea2b81a25b4470e537102cc87b0875eb5f12,"Firewall is new",False,"Upgrading to a new firewall does not fix existing bugs","{""IsBugFix"": false, ""Reason"": ""Upgrading to a new firewall does not fix existing bugs""}"
027be9ab30e89b0b5a042fd82d1563b16c167500,"Added WPF 4.6.1 Client",False,"Introduced new UI framework","{""IsBugFix"": false, ""Reason"": ""Introduced new UI framework""}"
c78d46ccb3a3516c2b10142a8aa6b4b8089f0d84,"Fast LevelGen",True,"Improvement in performance","{""IsBugFix"": true, ""Reason"": ""Improvement in performance""}"
077ccedca8cd5ad6afb96ee3c30e420459685439,"Introduced game manager",False,"Introducing a new feature (game manager) does not typically indicate fixing a bug.","{""IsBugFix"": false, ""Reason"": ""Introducing a new feature (game manager) does not typically indicate fixing a bug.""}"
60a780f932637b3d3c9162607bbee93af490f772,"ZIndex is now a thing.",False,"Introducing a new feature (ZIndex) is not addressing an existing bug","{""IsBugFix"": false, ""Reason"": ""Introducing a new feature (ZIndex) is not addressing an existing bug""}"
b57035e0e18cf2993343450c0652ddbd94da1ef9,"Moved towards a message-based architecture.",False,"Changing architecture is not addressing a bug","{""IsBugFix"": false, ""Reason"": ""Changing architecture is not addressing a bug"" }"
5338c79006442e292ede45aee247da1127d278e3,"Added actor object",True,"The addition of an actor object could indicate a refactoring effort to improve code structure or readability, which often accompanies bugfixes.","{""IsBugFix"": true, ""Reason"": ""The addition of an actor object could indicate a refactoring effort to improve code structure or readability, which often accompanies bugfixes.""}"
