Sha,ParentSha,Parent2Sha,IsMerge,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,Message,Work Items,Total Files,Modified Files,Added Files,Deleted Files,Total Lines,Net Lines,Added Lines,Deleted Lines
4007dbb0053b857bc4bb6ac611c33b324a9d5e34,,,False,1,03/19/2023 22:49:39,2,03/19/2023 22:49:39,Initial commit,0,3,0,3,0,373,373,373,0
295b7306e4522ed7cc95f867db0a3187b70a6488,4007dbb0053b857bc4bb6ac611c33b324a9d5e34,,False,1,03/20/2023 01:36:32,1,03/20/2023 01:36:32,Ported over code,0,8,2,6,0,17631,742,744,2
8b1c4e608426c2cdd04f74f206a06fe4ff84a268,295b7306e4522ed7cc95f867db0a3187b70a6488,,False,1,03/20/2023 01:52:51,1,03/20/2023 01:52:51,Fixed build issues,0,11,4,6,1,7346,6904,6928,24
fcf265e2bdb57db6420a139416487e11930fef33,8b1c4e608426c2cdd04f74f206a06fe4ff84a268,,False,1,03/26/2023 04:24:20,1,03/26/2023 04:24:20,Updated documentation,0,1,1,0,0,45,1,2,1
cc68e3f73810063dab7a89fd54635cbfd21bdf2f,fcf265e2bdb57db6420a139416487e11930fef33,a1d9e89db0d28e3291f948dd28e937fff262f7f7,True,1,03/26/2023 04:24:22,1,03/26/2023 04:24:22,Merge remote-tracking branch 'origin/main' into main,0,17,1,16,0,1449,1095,1095,0
4273f9670bbb6866502e156eb1f4c96d2c74876a,cc68e3f73810063dab7a89fd54635cbfd21bdf2f,,False,1,03/27/2023 00:15:58,1,03/27/2023 00:15:58,Added bytes,0,3,3,0,0,246,19,26,7
9dd71a3ed938e36ac7be6463363d531e96250189,4273f9670bbb6866502e156eb1f4c96d2c74876a,,False,1,03/27/2023 00:51:33,1,03/27/2023 00:51:33,Author writing,0,5,4,1,0,291,82,97,15
14dce85850cd0034ab3cd4d8810f574b47ff51b4,9dd71a3ed938e36ac7be6463363d531e96250189,,False,1,03/27/2023 00:57:35,1,03/27/2023 00:57:35,Denormalized author info from commit data,0,2,2,0,0,247,-14,11,25
8f5ff47612a1629dc2e459d743ec324cfed85be3,14dce85850cd0034ab3cd4d8810f574b47ff51b4,,False,1,03/28/2023 03:20:07,1,03/28/2023 03:20:07,Refactoring code to be more testable,0,13,5,8,0,454,165,210,45
c7ed357a8c38915e1a7316ab30dba2ab9b9c00bf,8f5ff47612a1629dc2e459d743ec324cfed85be3,,False,1,03/28/2023 03:37:35,1,03/28/2023 03:37:35,Better author testing,0,7,5,2,0,356,55,122,67
