Commit,File Sha,Type,Path,Lines Added,Lines Deleted,Current Lines,Commit Author,Commit Date Utc,Commit Message,Work Items
4007dbb0053b857bc4bb6ac611c33b324a9d5e34,dfcfd56f444f9ae40e1082c07fe254cc547136cf,Added,.gitignore,350,0,350,1,03/19/2023 22:49:39,Initial commit,0
4007dbb0053b857bc4bb6ac611c33b324a9d5e34,85c3fdcc0c3a6cccdbf52a6087d05cc7b350fccf,Added,LICENSE,21,0,21,1,03/19/2023 22:49:39,Initial commit,0
4007dbb0053b857bc4bb6ac611c33b324a9d5e34,a75802a56440260f8c4028fc8315be8c55e8de23,Added,README.md,2,0,2,1,03/19/2023 22:49:39,Initial commit,0
295b7306e4522ed7cc95f867db0a3187b70a6488,48709110cbcad4d8101530d2be4c9577023eb1d4,Modified,.gitignore,4,0,354,1,03/20/2023 01:36:32,Ported over code,0
295b7306e4522ed7cc95f867db0a3187b70a6488,eef143a808b28b559ae2f3e3d3027ec67de44383,Added,.vscode/settings.json,5,0,5,1,03/20/2023 01:36:32,Ported over code,0
295b7306e4522ed7cc95f867db0a3187b70a6488,30398aa174b32430489b0a66ab163197c1806918,Added,PythonPrototype/GitAnalysis.twbx,0,0,16537,1,03/20/2023 01:36:32,Ported over code,0
295b7306e4522ed7cc95f867db0a3187b70a6488,6fa95ed5885352a566671dcecae965a833a2bd1c,Added,PythonPrototype/GitStractor.ipynb,247,0,247,1,03/20/2023 01:36:32,Ported over code,0
295b7306e4522ed7cc95f867db0a3187b70a6488,ceae389dfbae0ff93ca816bb994936499f0c0c79,Added,PythonPrototype/Scripts/FileAnalyzer.py,189,0,189,1,03/20/2023 01:36:32,Ported over code,0
295b7306e4522ed7cc95f867db0a3187b70a6488,fd720f4dc9281e1cf58c88c15f9397347b730648,Added,PythonPrototype/Scripts/GitAnalyzer.py,148,0,148,1,03/20/2023 01:36:32,Ported over code,0
295b7306e4522ed7cc95f867db0a3187b70a6488,b5758b2cf247299c3eda063edc31a8524729e730,Added,PythonPrototype/Scripts/GitDataMerger.py,109,0,109,1,03/20/2023 01:36:32,Ported over code,0
295b7306e4522ed7cc95f867db0a3187b70a6488,cc206cd435c100d6172a941fbc67398ae2193e30,Modified,README.md,42,2,42,1,03/20/2023 01:36:32,Ported over code,0
