Commit Sha,File Sha,Lines,Path,Path1,Path2,Path3,Extension
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,6909b37471ae98b54c70efb6ca4729f0aef0b589,356,.gitignore,.gitignore,,,.gitignore
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,5bc1be9e97d7d1f12d1468cfdacd68ce5ab49ba8,128,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,,,.md
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,c232425b0dcefa859ece78fcb3e5ec05609c8d43,5,CONTRIBUTING.md,CONTRIBUTING.md,,,.md
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,85c3fdcc0c3a6cccdbf52a6087d05cc7b350fccf,21,LICENSE,LICENSE,,,
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,0adfce787b762b5ee9d320ed04f2c6e060d9cb4a,107,README.md,README.md,,,.md
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,c1f8fc6c8ae0bfccc955cafcefe29c8bb7cfabb0,13,.github/FUNDING.yml,.github,FUNDING.yml,,.yml
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,d6358cb3e0e7286b3e1873b7a58d657dc25e0c56,6,.vscode/settings.json,.vscode,settings.json,,.json
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,3729ff0cd1acce411e814ec416b82ac0f239a4e0,25,GitStractor/.dockerignore,GitStractor,.dockerignore,,.dockerignore
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,9893bddfb92e832fde3ad03e7961d9ea3d191350,4,GitStractor/.editorconfig,GitStractor,.editorconfig,,.editorconfig
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,6833bc9250ee2fa985862cb7ad8bc0219ed1c803,549,GitStractor/GitStractor.ndproj,GitStractor,GitStractor.ndproj,,.ndproj
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,045a81f07eb9629228771dd129977d37e6b41676,62,GitStractor/GitStractor.sln,GitStractor,GitStractor.sln,,.sln
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,d394739b2dadee546fbc19debfb21b16d510d3c4,5,GitStractor/GitStractor.sln.DotSettings,GitStractor,GitStractor.sln.DotSettings,,.DotSettings
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,1ae59726b5798f1ca2dfc7df9b0b9e8702d3d65f,73,GitStractor/NDependCoverage.xml,GitStractor,NDependCoverage.xml,,.xml
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,9ce5eaa95c0599cea1a45ba14ad7a8691bb5b3ec,6,GitStractor/NuGet.Config,GitStractor,NuGet.Config,,.Config
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,f1c3b1cb1c1bd7917d0acc537a5ce3f00ef5916a,172,Images/AccessibleAIBlogPostsByMonth.png,Images,AccessibleAIBlogPostsByMonth.png,,.png
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,66376ff84c690d6388f0e3af697bcb927b879445,641,Images/CircleLogoTrans.png,Images,CircleLogoTrans.png,,.png
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,286f237471c78af6b3ffd63e235e5b3915c45819,792,Images/GitStractorFileCommits_April_1_2023.png,Images,GitStractorFileCommits_April_1_2023.png,,.png
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,d9adeb9a27d372da664a2ba1c881ffb6ca13f1b0,175,Images/GitStractorFilesPerCommit_April_1_2023.png,Images,GitStractorFilesPerCommit_April_1_2023.png,,.png
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,44228744ba689ca0c448a3f2f9972ae68ef1908f,1580,Images/PowerBICommits.png,Images,PowerBICommits.png,,.png
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,e4ee3d2ad970edb1eac6f98da394433027b7cf4e,206,Images/PowerBIParameter.png,Images,PowerBIParameter.png,,.png
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,c5c90bd0618cc2dfa27901c746e4141d1547ef79,1096552,Notebooks/GitStractor.ipynb,Notebooks,GitStractor.ipynb,,.ipynb
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,a12934b4d920fe3ced74e738c311ea4799edea60,3,Notebooks/README.md,Notebooks,README.md,,.md
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,7e5e3796b917aa7315ef9aae39cec73de5ee8385,165,PowerBI/GitStractor.pbit,PowerBI,GitStractor.pbit,,.pbit
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,9d552a29512b4f3813b781f284a39f740f00ec81,1606,PowerBI/GitStractor.pbix,PowerBI,GitStractor.pbix,,.pbix
