Commit Sha,File Sha,Lines,Path,Path1,Path2,Path3,Extension
e4a102a4fca720931620f16b8471901b4786cc70,acdab74f70d81c6fcd48603db1108e8cd1363951,31,.editorconfig,.editorconfig,,,.editorconfig
e4a102a4fca720931620f16b8471901b4786cc70,50f25b6f529d87268cba02450e6d489c4dfb95c1,2,.git-blame-ignore-revs,.git-blame-ignore-revs,,,.git-blame-ignore-revs
e4a102a4fca720931620f16b8471901b4786cc70,fdbd45887018ac6ac81b03c3c41408f1a8fd1259,396,.gitignore,.gitignore,,,.gitignore
e4a102a4fca720931620f16b8471901b4786cc70,0fd65e978f79bfdc669be4e49d35e9ebf99c46ca,5,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,,,.md
e4a102a4fca720931620f16b8471901b4786cc70,74826e98cbbce5bd1556ddb240af14fc469a8a2a,11,CONTRIBUTING.md,CONTRIBUTING.md,,,.md
e4a102a4fca720931620f16b8471901b4786cc70,9872971934879c2e1e33382a355b049ac5957b00,252,DEVELOPER-GUIDE.md,DEVELOPER-GUIDE.md,,,.md
e4a102a4fca720931620f16b8471901b4786cc70,64f820fcee2ae5d3bfd2a0efe62c6482696bdaa8,49,Directory.Build.props,Directory.Build.props,,,.props
e4a102a4fca720931620f16b8471901b4786cc70,494b35720f73040675657424ce8e97bdbc17045a,39,Directory.Build.targets,Directory.Build.targets,,,.targets
e4a102a4fca720931620f16b8471901b4786cc70,7f3919322261014e668859574d2f7213a12205ae,135,INTERNAL.md,INTERNAL.md,,,.md
e4a102a4fca720931620f16b8471901b4786cc70,c35b1079d3c59b514e5a9f54eb92a912abe9b1a6,23,License.txt,License.txt,,,.txt
e4a102a4fca720931620f16b8471901b4786cc70,737b72a51d4506ad4bae90e372d76e5f6c370171,17,MANUAL-TESTING.md,MANUAL-TESTING.md,,,.md
e4a102a4fca720931620f16b8471901b4786cc70,0b6a695181ca5074c6e05a7179d2320485696f13,25721,NOTICE.txt,NOTICE.txt,,,.txt
e4a102a4fca720931620f16b8471901b4786cc70,da70a183d9d37cb9b1a7d87e67b80db9452857a2,449,NotebookTestScript.dib,NotebookTestScript.dib,,,.dib
e4a102a4fca720931620f16b8471901b4786cc70,26165c61826137c1ac500569ba6f7f2651f800e6,1016,NotebookTestScript.ipynb,NotebookTestScript.ipynb,,,.ipynb
e4a102a4fca720931620f16b8471901b4786cc70,4114b043120bcd59382f06afdfa18c92e5a8cf24,16,NuGet.config,NuGet.config,,,.config
e4a102a4fca720931620f16b8471901b4786cc70,7ac253c9bc924f3590381895fb025023eb1fe7cf,93,README.md,README.md,,,.md
e4a102a4fca720931620f16b8471901b4786cc70,40ebe97731c5a52cb52a0b68cf64583e63c7635b,6,Ruleset.ruleset,Ruleset.ruleset,,,.ruleset
e4a102a4fca720931620f16b8471901b4786cc70,7a143c488b23588838afc671d4654ec5630492b6,28,SECURITY.md,SECURITY.md,,,.md
e4a102a4fca720931620f16b8471901b4786cc70,4ecdec675a34a6bb8c4ae9c1d846bb7ca0abe148,2,apiscan-compliance.yml,apiscan-compliance.yml,,,.yml
e4a102a4fca720931620f16b8471901b4786cc70,99b758f2c8680381dd7c12da6c13cb652a47f2f0,360,azure-pipelines-official.yml,azure-pipelines-official.yml,,,.yml
e4a102a4fca720931620f16b8471901b4786cc70,4c7508952f003ccbf47e0a15e1514129c00fc6bb,406,azure-pipelines.yml,azure-pipelines.yml,,,.yml
e4a102a4fca720931620f16b8471901b4786cc70,8442a57d8f38597e9670495806e9a40c843731ee,2,build-js.cmd,build-js.cmd,,,.cmd
e4a102a4fca720931620f16b8471901b4786cc70,b0b717d3e8bb8b0dd65d0d3bf0ddbd867f767929,16,build-js.sh,build-js.sh,,,.sh
e4a102a4fca720931620f16b8471901b4786cc70,4f83f6aede36bab1168efd0ec112d17bd4ec9737,2,build.cmd,build.cmd,,,.cmd
e4a102a4fca720931620f16b8471901b4786cc70,48cd0feb1080faa8dd5957dbd95a560fc66c9aed,16,build.sh,build.sh,,,.sh
e4a102a4fca720931620f16b8471901b4786cc70,769abf1c62290de780c6e0632883c0f7f7ae66f3,15,buildSqlTools.cmd,buildSqlTools.cmd,,,.cmd
e4a102a4fca720931620f16b8471901b4786cc70,596a86030158e4f6f475508114f6af137fb63054,6,dotnet-interactive.lutconfig,dotnet-interactive.lutconfig,,,.lutconfig
e4a102a4fca720931620f16b8471901b4786cc70,8c4e0a4ae1e2680ff9b3a386a7583d12b13140a0,769,dotnet-interactive.sln,dotnet-interactive.sln,,,.sln
e4a102a4fca720931620f16b8471901b4786cc70,48e27e0386dc9c3c3781bdaccdd23405f27c28fa,21,dotnet-interactive.sln.DotSettings,dotnet-interactive.sln.DotSettings,,,.DotSettings
e4a102a4fca720931620f16b8471901b4786cc70,13107d39442c4efda99f85cf73cb27cd49a33e53,8,dotnet-interactive.v3.ncrunchsolution,dotnet-interactive.v3.ncrunchsolution,,,.ncrunchsolution
e4a102a4fca720931620f16b8471901b4786cc70,92faab444b42085040127c71d7fcca9b0af15ba5,14,global.json,global.json,,,.json
e4a102a4fca720931620f16b8471901b4786cc70,079a3918330d5277b8f2236ac5c0c7181601665f,24,interactive.code-workspace,interactive.code-workspace,,,.code-workspace
e4a102a4fca720931620f16b8471901b4786cc70,f1a87c4dddfb1a302b041a8e910ebdd39ea918d9,27,issues-review.github-issues,issues-review.github-issues,,,.github-issues
e4a102a4fca720931620f16b8471901b4786cc70,824a45c9c36507ce503d6916fa1cf83a7fef7230,24,repack.ps1,repack.ps1,,,.ps1
e4a102a4fca720931620f16b8471901b4786cc70,ad10e5790d3424b968e86534f127513808df8d7d,2,restore.cmd,restore.cmd,,,.cmd
e4a102a4fca720931620f16b8471901b4786cc70,cf80bdd6af1aac1e6f6e1290bbe6c539425134e1,16,restore.sh,restore.sh,,,.sh
e4a102a4fca720931620f16b8471901b4786cc70,04eaf4fc0fbae6f8ce8db36767dcab39f7e70141,85,test-retry-runner.ps1,test-retry-runner.ps1,,,.ps1
e4a102a4fca720931620f16b8471901b4786cc70,6635b2fffc70e33ef56a8dea0a8eb44692b4a4f6,2,test.cmd,test.cmd,,,.cmd
e4a102a4fca720931620f16b8471901b4786cc70,fce89f0a1165abd2fe23ce5c67b53c29ecb2e38c,16,test.sh,test.sh,,,.sh
e4a102a4fca720931620f16b8471901b4786cc70,3ad9c00e107cc5b0e88fd70369329f04abc29909,4,xunit.runner.json,xunit.runner.json,,,.json
e4a102a4fca720931620f16b8471901b4786cc70,0c1ceee37a97f007fcf4abb7773d1a9eba4fd04a,54,.config/CredScanSuppressions.json,.config,CredScanSuppressions.json,,.json
e4a102a4fca720931620f16b8471901b4786cc70,4aa7df824c8e322382dc16b3b2c886da0a2a5cdb,16,.devcontainer/Dockerfile,.devcontainer,Dockerfile,,
e4a102a4fca720931620f16b8471901b4786cc70,b098529b956fe2c4e99f9fd4adbb655b3fb6bd15,76,.devcontainer/devcontainer.json,.devcontainer,devcontainer.json,,.json
e4a102a4fca720931620f16b8471901b4786cc70,73f18e39d9ab98e0e0b037f15f7e1510367e4416,24,.devcontainer/workspace.code-workspace,.devcontainer,workspace.code-workspace,,.code-workspace
e4a102a4fca720931620f16b8471901b4786cc70,25ffd035d83350b613bb7b8231046c06509b145b,107,.github/release.yml,.github,release.yml,,.yml
e4a102a4fca720931620f16b8471901b4786cc70,1c25627c78ca45bd2a8c9ad19a9e099f708e411a,34,.vscode/launch.json,.vscode,launch.json,,.json
