Author,Year,Week,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
1,2018,18,1,382168,0,868,0,0,05/04/2018 00:22:00,05/04/2018 00:22:00
3,2018,18,1,1749,27,6,1,16,05/04/2018 19:47:21,05/04/2018 19:47:21
5,2018,18,1,4,5,0,0,1,05/04/2018 21:06:13,05/04/2018 21:06:13
5,2018,19,4,243,13,1,0,7,05/08/2018 06:12:04,05/11/2018 23:20:02
5,2018,20,1,10,20,0,0,8,05/17/2018 02:10:30,05/17/2018 02:10:30
5,2018,24,2,203,190,0,0,8,06/11/2018 19:50:47,06/12/2018 20:12:44
5,2018,27,3,750,24,2,0,11,07/02/2018 17:00:25,07/03/2018 18:19:25
5,2018,28,1,256,14,0,0,12,07/11/2018 18:30:00,07/11/2018 18:30:00
5,2018,29,1,284,15,0,0,13,07/16/2018 18:51:25,07/16/2018 18:51:25
5,2018,30,1,168,103,0,0,5,07/26/2018 17:37:42,07/26/2018 17:37:42
5,2018,31,1,76,4,0,0,1,08/01/2018 16:53:09,08/01/2018 16:53:09
5,2018,36,1,155,63,0,0,8,09/06/2018 21:48:29,09/06/2018 21:48:29
5,2018,38,3,2277,114,11,0,16,09/19/2018 00:40:45,09/21/2018 18:26:00
5,2018,39,3,812,7,10,0,11,09/24/2018 23:25:05,09/26/2018 18:32:15
5,2018,41,2,1221,100,1,0,13,10/08/2018 23:14:51,10/09/2018 21:55:54
5,2018,43,1,184,106,0,0,4,10/25/2018 19:09:15,10/25/2018 19:09:15
5,2019,1,1,2,2,0,0,1,01/04/2019 17:37:25,01/04/2019 17:37:25
5,2019,3,1,200,28,0,0,5,01/16/2019 01:22:04,01/16/2019 01:22:04
5,2019,4,2,140,21,0,0,4,01/24/2019 00:42:04,01/24/2019 02:03:47
5,2019,5,3,191,100,3,3,7,01/29/2019 00:53:02,02/01/2019 23:21:29
5,2019,6,3,282,16,1,0,11,02/05/2019 00:53:10,02/07/2019 00:45:36
5,2019,7,3,905,120,6,0,16,02/10/2019 03:57:05,02/15/2019 07:31:49
5,2019,9,5,883,622,5,2,57,02/25/2019 22:02:37,03/02/2019 06:56:40
5,2019,10,1,148,106,1,0,16,03/05/2019 01:24:10,03/05/2019 01:24:10
5,2019,11,3,152,102,0,0,12,03/11/2019 23:24:54,03/15/2019 17:36:37
5,2019,12,4,525,75,0,0,15,03/18/2019 17:02:56,03/21/2019 23:40:00
5,2019,13,3,646,190,8,1,9,03/28/2019 22:04:43,03/28/2019 23:06:50
5,2019,14,8,924,331,11,3,29,04/01/2019 19:46:59,04/05/2019 23:18:21
5,2019,15,2,147,148,0,0,4,04/10/2019 20:46:12,04/10/2019 22:49:33
5,2019,17,1,3,4,0,0,1,04/23/2019 22:20:01,04/23/2019 22:20:01
5,2019,21,1,4,4,3,3,1,05/22/2019 20:49:51,05/22/2019 20:49:51
6,2018,18,1,128,1,1,0,2,05/05/2018 08:11:31,05/05/2018 08:11:31
