Author,Year,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
1,2018,1,382168,0,868,0,0,05/04/2018 00:22:00,05/04/2018 00:22:00
3,2018,1,1749,27,6,1,16,05/04/2018 19:47:21,05/04/2018 19:47:21
5,2018,25,6643,778,25,0,118,05/04/2018 21:06:13,10/25/2018 19:09:15
5,2019,41,5152,1869,38,12,188,01/04/2019 17:37:25,05/22/2019 20:49:51
6,2018,2,131,3,1,0,3,05/05/2018 08:11:31,05/08/2018 15:17:41
6,2019,2,101,66,0,0,11,04/15/2019 16:49:56,04/19/2019 19:26:08
8,2018,8,109,25,2,0,9,05/07/2018 03:50:30,12/19/2018 23:13:14
9,2018,10,1337,601,9,0,9,05/07/2018 04:44:57,12/01/2018 20:09:14
4,2018,55,14018,11950,23,2,1036,05/07/2018 17:26:00,12/12/2018 00:06:16
4,2019,43,12463,11327,37,12,1934,01/04/2019 23:55:46,11/22/2019 20:18:41
4,2020,3,76,35,1,0,3,04/02/2020 00:46:41,10/06/2020 05:26:36
4,2021,2,298,314,0,0,11,03/15/2021 16:52:19,04/29/2021 00:08:24
11,2018,2,2048598,5,2,0,2,05/07/2018 17:48:17,05/07/2018 21:09:23
13,2018,2,10,10,0,0,7,05/07/2018 22:11:06,05/07/2018 22:23:35
13,2019,2,4,4,0,0,2,05/30/2019 16:52:10,10/03/2019 00:37:03
14,2018,1,14,1,0,0,2,05/08/2018 05:06:19,05/08/2018 05:06:19
16,2018,1,20,13,0,0,1,05/08/2018 20:44:39,05/08/2018 20:44:39
16,2019,7,8590,739,52,1,47,02/15/2019 03:11:36,10/30/2019 22:56:36
17,2018,1,3,2,0,0,2,05/08/2018 21:52:58,05/08/2018 21:52:58
18,2018,1,5,3,0,0,1,05/09/2018 16:00:56,05/09/2018 16:00:56
19,2018,27,316645,11213,270,6,152,05/09/2018 17:58:23,12/27/2018 17:56:28
19,2019,21,2297,1048,8,1,101,01/04/2019 01:13:15,04/29/2019 03:49:06
20,2018,1,14,14,0,0,1,05/10/2018 00:47:34,05/10/2018 00:47:34
21,2018,2,11,14,0,0,8,05/10/2018 15:21:26,07/16/2018 20:33:11
22,2018,49,118753,414022,162,92,324,05/11/2018 15:39:25,12/20/2018 18:07:14
22,2019,27,38919,1412,125,1,192,01/07/2019 20:35:06,12/26/2019 18:33:53
22,2020,11,14524,786,45,0,60,01/05/2020 08:30:42,06/04/2020 12:14:24
22,2021,1,142,28,1,0,4,10/12/2021 02:09:21,10/12/2021 02:09:21
23,2018,1,1,1,0,0,1,05/11/2018 18:40:08,05/11/2018 18:40:08
