Commit Sha,File Sha,Lines,Path,Path1,Path2,Path3,Extension
fa8c82204508e5742600fbed27f7056d63dc57f5,c3abb9f621263552f70a3f3b9e868ad5ca2f645a,4,.CodeQL.yml,.CodeQL.yml,,,.yml
fa8c82204508e5742600fbed27f7056d63dc57f5,ee8f4639c0f4222ffc0f50915fb598782e23e9ab,347,.editorconfig,.editorconfig,,,.editorconfig
fa8c82204508e5742600fbed27f7056d63dc57f5,3f6144b9c27f747dd9552b7e59af9795ec1e489d,8,.gitattributes,.gitattributes,,,.gitattributes
fa8c82204508e5742600fbed27f7056d63dc57f5,a173f8c784e9c77df3f5b84c698055b3d9ed2a67,340,.gitignore,.gitignore,,,.gitignore
fa8c82204508e5742600fbed27f7056d63dc57f5,322ac438abd77211ba2159479077e8b1dc5c321d,3,.gitmodules,.gitmodules,,,.gitmodules
fa8c82204508e5742600fbed27f7056d63dc57f5,0d97d9d9c0e6b7a3ea077149e358dfad9791af5c,216,.vsts-dotnet-ci.yml,.vsts-dotnet-ci.yml,,,.yml
fa8c82204508e5742600fbed27f7056d63dc57f5,68add256cbc384f8306d6c84751fa11f6d18700a,5,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,,,.md
fa8c82204508e5742600fbed27f7056d63dc57f5,afdfb35b003adb38115948944799356769df0fe5,40,CONTRIBUTING.md,CONTRIBUTING.md,,,.md
fa8c82204508e5742600fbed27f7056d63dc57f5,8e67d0905c352e99cb39fd67e72a0e33f0f7609a,73,Directory.Build.props,Directory.Build.props,,,.props
fa8c82204508e5742600fbed27f7056d63dc57f5,f310d751cd670a90ce54c7d39c54a5630082be8f,111,Directory.Build.targets,Directory.Build.targets,,,.targets
fa8c82204508e5742600fbed27f7056d63dc57f5,4412a83fba72f06057438d91e5b60481c25e97d7,14,ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,,,.md
fa8c82204508e5742600fbed27f7056d63dc57f5,984713a49622a96da110443c15477613bc12656b,23,LICENSE,LICENSE,,,
fa8c82204508e5742600fbed27f7056d63dc57f5,d3985d1777a442dbd4dcbfcfa282fbf0fd2595cb,976,Microsoft.ML.sln,Microsoft.ML.sln,,,.sln
fa8c82204508e5742600fbed27f7056d63dc57f5,15f4fc551be131cda8d4239e93bf06e760e83414,50,NuGet.config,NuGet.config,,,.config
fa8c82204508e5742600fbed27f7056d63dc57f5,fd748884db5fe9dd487319e46dbe3b79d5b003e6,9,PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,,,.md
fa8c82204508e5742600fbed27f7056d63dc57f5,17d05e687c8a756e035680bf828d399e29bad8ee,16,README-oneDAL.md,README-oneDAL.md,,,.md
fa8c82204508e5742600fbed27f7056d63dc57f5,f1d0507893dbbcec63d666a1f47826a8b3dd2170,140,README.ko-KR.md,README.ko-KR.md,,,.md
fa8c82204508e5742600fbed27f7056d63dc57f5,b2dd1b7a1c8d0e890e91a508b39a926e955920b6,132,README.md,README.md,,,.md
fa8c82204508e5742600fbed27f7056d63dc57f5,b5fb8ec296e7ecddc21ed44f04dba424d0e2baf0,97,ROADMAP.md,ROADMAP.md,,,.md
