Sha,ParentSha,Parent2Sha,IsMerge,IsBugfix,BugfixProbability,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,Message,Work Items,Total Files,Modified Files,Added Files,Deleted Files,Total Lines,Net Lines,Added Lines,Deleted Lines
53914f0a9cba77256188630e6870f98494a94e85,,,False,False,2.4165327E-05,1,04/19/2024 02:07:44,1,04/19/2024 02:07:44,Added project,0,18,0,18,0,659,659,659,0
a7918ed4426845719f580c4a0c222efa898e69a7,53914f0a9cba77256188630e6870f98494a94e85,,False,True,0.8810144,1,04/19/2024 02:12:08,1,04/19/2024 02:12:08,Fixed path to Wherewolf,0,5,4,1,0,78,6,6,0
b6c5e208d066d227269c70517b096b99ce9634c3,a7918ed4426845719f580c4a0c222efa898e69a7,,False,False,0.0003410589,1,04/19/2024 02:25:47,1,04/19/2024 02:25:47,Structuring early application.,0,8,3,5,0,196,113,119,6
ba4f3acb4bc1111109f5f8cd1a0813c794a22fd7,b6c5e208d066d227269c70517b096b99ce9634c3,,False,False,0.0015834513,1,04/19/2024 03:24:09,1,04/19/2024 03:24:09,Early game creation and summarization,0,12,6,6,0,560,472,474,2
b5cdfe154be7342f2785d0450efd047e2c1b6295,ba4f3acb4bc1111109f5f8cd1a0813c794a22fd7,,False,False,0.0367733,1,04/19/2024 03:29:43,1,04/19/2024 03:29:43,Good early game display,0,1,1,0,0,132,-26,6,32
3ea7f19a21b935b69c2a1d15500c0e3984872a0e,b5cdfe154be7342f2785d0450efd047e2c1b6295,,False,False,0.0006290136,1,04/20/2024 04:10:55,1,04/20/2024 04:10:55,Beginnings of knowledge representation and events,0,13,5,8,0,695,334,363,29
1cad1831c63e76c297000e4c872455228394b928,3ea7f19a21b935b69c2a1d15500c0e3984872a0e,,False,False,0.00032201686,1,04/20/2024 21:26:58,1,04/20/2024 21:26:58,Beginnings of night phase,0,19,12,7,0,852,181,218,37
61e2be08cec6161ea91f5f2dbce6b2df77fb1087,1cad1831c63e76c297000e4c872455228394b928,,False,False,0.011510666,1,04/20/2024 21:40:55,1,04/20/2024 21:40:55,Saw other wolves event,0,9,8,1,0,351,60,66,6
0eabd3328f252d888da0fd5ce7d37cf2d8b8b3e7,61e2be08cec6161ea91f5f2dbce6b2df77fb1087,,False,False,0.06874581,1,04/21/2024 01:59:12,1,04/21/2024 01:59:12,Reorganizing for game setup and early probability,0,16,14,2,0,866,49,183,134
599ad20362a79706f59ea4e094a4ea0d22ac3d37,0eabd3328f252d888da0fd5ce7d37cf2d8b8b3e7,,False,False,0.005083728,1,04/21/2024 02:35:55,1,04/21/2024 02:35:55,Early permutation work,0,6,4,2,0,320,71,75,4
0ed9aae56436a3cacd445638602e2f02f01d8384,599ad20362a79706f59ea4e094a4ea0d22ac3d37,,False,False,0.04454543,1,04/21/2024 02:58:22,1,04/21/2024 02:58:22,Working probability engine,0,7,7,0,0,338,61,69,8
764d688785b7da5cfdc8c49bf2fe43307a6d5279,0ed9aae56436a3cacd445638602e2f02f01d8384,,False,False,0.12169953,1,04/21/2024 03:07:55,1,04/21/2024 03:07:55,Support-based calculation of start cards,0,3,2,0,1,88,14,32,18
767f10472cb3776b6e09aefd24b991dfc69fcc3e,764d688785b7da5cfdc8c49bf2fe43307a6d5279,,False,False,0.12682892,1,04/21/2024 03:30:27,1,04/21/2024 03:30:27,Brute force probability seems to be working,0,2,2,0,0,202,77,77,0
2e35f8f54b32473685168be1aa72408507d598e1,767f10472cb3776b6e09aefd24b991dfc69fcc3e,,False,False,0.01836845,1,04/21/2024 18:19:26,1,04/21/2024 18:19:26,Added a mechanism to get all possible worlds,0,9,6,3,0,573,124,163,39
2cd5f4952df7a5214d3014bce34210e50909730a,2e35f8f54b32473685168be1aa72408507d598e1,,False,False,0.19421163,1,04/21/2024 18:42:01,1,04/21/2024 18:42:01,Lone wolf peek is now fully implemented,0,10,7,2,1,387,91,104,13
c55fe3c28cf5a12f5b45f26bba499bfdc1df460f,2cd5f4952df7a5214d3014bce34210e50909730a,,False,False,0.03002013,1,04/21/2024 19:09:14,1,04/21/2024 19:09:14,Added knowledge test for lone wolf,0,2,1,1,0,131,47,47,0
ee8e28e440594e62cb61509b3ca5400411db02e4,c55fe3c28cf5a12f5b45f26bba499bfdc1df460f,,False,False,0.0067302245,1,04/21/2024 22:20:24,1,04/21/2024 22:20:24,Early implementation of Robber,0,14,10,4,0,614,161,190,29
